id,centroid
524901,POINT (1768978.2105633053 5901763.922199325)
524902,POINT (1769549.336082956 5900562.6219855)
525001,POINT (1768156.6891981794 5901363.710788716)
525002,POINT (1769087.7085080694 5900013.6952100145)
525101,POINT (1767970.5337625283 5899828.9067097595)
525102,POINT (1767833.8402705765 5898232.730792983)
525201,POINT (1783966.8604622758 5903941.6787597705)
525202,POINT (1796320.348707543 5904400.300149699)
525410,POINT (1772893.955290804 5895899.309415304)
525420,POINT (1772261.7164992774 5896794.448255761)
525510,POINT (1774451.5618123773 5895301.6162480395)
525520,POINT (1773158.1081557246 5894830.063045043)
525530,POINT (1772216.368109087 5894567.299742959)
525540,POINT (1771820.8354878211 5895765.073082761)
525610,POINT (1774759.0811750959 5896710.010981086)
525620,POINT (1773741.256155215 5896386.123511623)
525630,POINT (1773458.9442151836 5897227.921367472)
525700,POINT (1775621.392932654 5895815.668800787)
525910,POINT (1769327.6070931612 5882186.418301752)
525921,POINT (1767873.9765872397 5880052.879608328)
525922,POINT (1769944.3465863266 5879481.824303935)
526103,POINT (1752953.4612556368 5876204.689408923)
526104,POINT (1754194.1426270169 5876220.383150041)
526105,POINT (1754273.0832404096 5874869.315702285)
615900,POINT (1787261.5012759282 5991719.375289606)
616001,POINT (1808497.8588027891 5993050.453863478)
616200,POINT (1824784.8167772463 5999141.787312903)
