area_unit_id,area_unit_name,2 + bedrooms needed (severely crowded),1 bedroom needed (crowded),total_crowded,total_crowded_percent,No extra bedrooms required,1 bedroom spare,2 or more bedrooms spare,total_not_crowded,total_not_crowded_percent,total_stated,total_unknown,total_households,average_household_size
523722,Redoubt North,66,123,189,15.9, 327 , 324 , 348 , 999 ,83.9," 1,191 ", 93 ," 1,281 ",3.6
523813,Ardmore,,12,12,2.9, 51 , 111 , 234 , 399 ,97.1, 411 , 24 , 432 ,3.1
523814,Totara Heights,12,45,57,3.9, 216 , 399 , 774 ," 1,392 ",96.1," 1,449 ", 39 ," 1,488 ",3.2
523816,Randwick Park,54,99,153,18.9, 219 , 246 , 195 , 657 ,81.1, 810 , 84 , 897 ,3.7
523817,Hyperion,45,75,120,23.5, 141 , 135 , 111 , 390 ,76.5, 510 , 57 , 567 ,3.8
523818,Redoubt East,,,,, 27 , 45 , 135 , 207 ,98.6, 210 , 6 , 219 ,3.3
523819,Mill Road,,6,6,2.8, 24 , 57 , 126 , 207 ,97.2, 213 , 6 , 219 ,3.5
523820,Redoubt South,51,78,129,7.8, 339 , 498 , 687 ," 1,524 ",92.2," 1,653 ", 111 ," 1,767 ",3.5
523911,Takanini North,42,90,135,15.7, 234 , 255 , 231 , 723 ,84.3, 858 , 81 , 939 ,3.3
523912,Takanini South,15,60,75,7.0, 249 , 399 , 348 , 993 ,93.0," 1,068 ", 60 ," 1,131 ",2.8
523920,Takanini West,33,57,90,6.0, 291 , 480 , 633 ," 1,404 ",94.2," 1,491 ", 66 ," 1,560 ",2.9
524001,Ambury,15,60,72,6.8, 210 , 366 , 402 , 981 ,92.9," 1,056 ", 72 ," 1,128 ",2.9
524002,Mangere Bridge,54,141,198,12.1, 405 , 540 , 489 ," 1,434 ",87.9," 1,632 ", 159 ," 1,791 ",3.1
524111,Mangere Central,93,108,201,34.9, 168 , 126 , 81 , 375 ,65.1, 576 , 39 , 615 ,4.7
524112,Mascot,126,126,252,34.7, 207 , 162 , 108 , 474 ,65.3, 726 , 63 , 789 ,4.8
524121,Arahanga,63,78,144,37.5, 117 , 63 , 60 , 243 ,63.3, 384 , 36 , 417 ,4.7
524122,Viscount,114,168,282,38.4, 225 , 138 , 90 , 453 ,61.6, 735 , 78 , 813 ,4.8
524200,Mangere South,111,165,273,20.7, 357 , 354 , 339 ," 1,047 ",79.3," 1,320 ", 168 ," 1,488 ",4.3
524301,Mangere East,96,177,270,20.4, 411 , 345 , 297 ," 1,053 ",79.4," 1,326 ", 105 ," 1,431 ",3.6
524302,Aorere,129,171,300,31.4, 267 , 216 , 174 , 651 ,68.2, 954 , 183 ," 1,134 ",4.5
524303,Kohuora,90,201,294,21.4, 423 , 393 , 264 ," 1,077 ",78.6," 1,371 ", 102 ," 1,476 ",3.7
524402,Mangere Station,6,9,12,36.4, 12 , 9 , ..C , 21 ,63.6, 33 , 6 , 39 ,4.1
524403,Favona West,69,66,135,33.8, 126 , 90 , 48 , 261 ,65.4, 399 , 57 , 459 ,4.7
