name,url,address,lat,lng
South Seas Healthcare,/doctors/gp/south-seas-healthcare/,"Fair Mall, Otara",-36.960653,174.8733198
The Family Practice,/doctors/gp/the-family-practice/,"215 Bleakhouse Road, Mellons Bay, Auckland",-36.8809283,174.9257884
Tiakina Te Ora,/doctors/gp/tiakina-te-ora/,Tiakina Te Ora,-37.0615994,174.9396054
Turuki Health Care,/doctors/gp/turuki-health-care/,"Turuki Health Care, Mangere",-36.9720997,174.80350929999997
Vincent Street Family Doctors,/doctors/gp/vincent-street-family-doctors/,"80A Vincent Street, Howick, Auckland",-36.902487,174.92574650000006
AUT Health/Medical Centre,/doctors/gp/aut-health-medical-centre/,,,
Albany Basin Accident and Medical,/doctors/gp/albany-basin-accident-and-medical/,Albany Basin Accident and Medical,-36.75440023387624,174.7100293636322
Albany Family Medical Centre,/doctors/gp/albany-family-medical-centre/,"368 Albany Highway, Albany, Auckland",-36.743011,174.692466
All Care Family Medical Centre - Northcote,/doctors/gp/all-care-family-medical-centre-northcote/,"52 Pearn Crescent, Northcote, Auckland",-36.8007331,174.7462048
Anne Street Medical Centre,/doctors/gp/anne-street-medical-centre/,"29 Anne Street, Devonport, Auckland",-36.8303616,174.7954899
Apollo Medical,/doctors/gp/apollo-medical/,"119 Apollo Drive, Rosedale, Auckland",-36.735662,174.72740699999997
Archers Medical Centre,/doctors/gp/archers-medical-centre/,"130 Archers Road, Glenfield, Auckland",-36.7846042,174.73403789999998
Beachhaven Medical,/doctors/gp/beachhaven-medical/,"330 Rangatira Road, Beach Haven, Auckland",-36.80175210000001,174.69131
Belmont Medical Centre,/doctors/gp/belmont-medical-centre/,"3 Williamson Avenue, Belmont, Auckland",-36.808346,174.7904833
Birkdale Family Doctors Ltd,/doctors/gp/birkdale-family-doctors-ltd/,"93 Birkdale Road, Birkdale, Auckland",-36.7973193,174.70093410000004
Birkenhead Medical Centre,/doctors/gp/birkenhead-medical-centre/,"4 Rawene Road, Birkenhead, Auckland",-36.8135292,174.72638059999997
Browns Bay Family Doctors,/doctors/gp/browns-bay-family-doctors/,"65 Clyde Road, Browns Bay, Auckland",-36.7149449,174.74823049999998
